Price,qm,base_rent,plz,street
1435.07,78.85,,,
532.17,89.44,,,
1477.0,118.17,,,
656.0,52.5,,,
535.0,53.0,,,
504.1,50.46,,,
1350.0,104.0,,,
773.0,70.0,,,
687.22,60.23,,,
1800.0,96.6,,,
1085.04,60.28,,,
1310.0,43.1,,,
1866.0,93.2,,,
735.84,53.0,,,
690.91,48.0,,,
1114.0,85.22,,,
383.04,47.88,,,
491.88,68.88,,,
1100.0,93.61,,,
254.34,39.13,,,
420.4,42.4,,,
218.41,36.29,,,
433.62,60.72,,,
1132.34,62.0,,,
530.21,68.08,,,
1435.07,78.85,,,
532.17,89.44,,,
1477.0,118.17,,,
656.0,52.5,,,
535.0,53.0,,,
504.1,50.46,,,
1350.0,104.0,,,
773.0,70.0,,,
687.22,60.23,,,
1800.0,96.6,,,
1085.04,60.28,,,
1310.0,43.1,,,
1866.0,93.2,,,
735.84,53.0,,,
690.91,48.0,,,
1114.0,85.22,,,
383.04,47.88,,,
491.88,68.88,,,
1100.0,93.61,,,
254.34,39.13,,,
420.4,42.4,,,
218.41,36.29,,,
433.62,60.72,,,
1132.34,62.0,,,
530.21,68.08,,,
1435.07,78.85,,,
532.17,89.44,,,
1477.0,118.17,,,
656.0,52.5,,,
535.0,53.0,,,
504.1,50.46,,,
1350.0,104.0,,,
773.0,70.0,,,
687.22,60.23,,,
1800.0,96.6,,,
1085.04,60.28,,,
1310.0,43.1,,,
1866.0,93.2,,,
735.84,53.0,,,
690.91,48.0,,,
1114.0,85.22,,,
383.04,47.88,,,
491.88,68.88,,,
1100.0,93.61,,,
254.34,39.13,,,
420.4,42.4,,,
218.41,36.29,,,
433.62,60.72,,,
1132.34,62.0,,,
530.21,68.08,,,
1435.07,78.85,,,
532.17,89.44,,,
1477.0,118.17,,,
656.0,52.5,,,
535.0,53.0,,,
504.1,50.46,,,
1350.0,104.0,,,
773.0,70.0,,,
687.22,60.23,,,
1800.0,96.6,,,
1085.04,60.28,,,
1310.0,43.1,,,
1866.0,93.2,,,
735.84,53.0,,,
690.91,48.0,,,
1114.0,85.22,,,
383.04,47.88,,,
491.88,68.88,,,
1100.0,93.61,,,
254.34,39.13,,,
420.4,42.4,,,
218.41,36.29,,,
433.62,60.72,,,
1132.34,62.0,,,
530.21,68.08,,,
1435.07,78.85,,,
532.17,89.44,,,
1477.0,118.17,,,
656.0,52.5,,,
535.0,53.0,,,
504.1,50.46,,,
1350.0,104.0,,,
773.0,70.0,,,
687.22,60.23,,,
1800.0,96.6,,,
1085.04,60.28,,,
1310.0,43.1,,,
1866.0,93.2,,,
735.84,53.0,,,
690.91,48.0,,,
1114.0,85.22,,,
383.04,47.88,,,
491.88,68.88,,,
1100.0,93.61,,,
254.34,39.13,,,
420.4,42.4,,,
218.41,36.29,,,
433.62,60.72,,,
