,Price,Size(m²),Price_per_m²
0,470.0,56.85,8.27
1,720.0,95.13,7.57
2,1870.0,75.0,24.93
3,1699.28,108.58,15.65
4,879.0,64.0,13.73
5,1119.04,69.94,16.0
6,656.0,52.5,12.5
7,3216.57,185.5,17.34
8,401.58,57.62,6.97
9,1875.0,126.78,14.79
10,1091.7,96.1,11.36
11,1100.0,53.0,20.75
12,1890.0,147.36,12.83
13,498.5,33.21,15.01
14,3181.1,212.1,15.0
15,735.0,59.37,12.38
16,2141.64,134.02,15.98
17,1353.0,123.0,11.0
18,1157.9,99.2,11.67
19,2485.0,99.39,25.0
20,420.4,42.4,9.92
21,699.0,70.28,9.95
22,2864.67,144.17,19.87
23,659.6,65.96,10.0
24,1123.2,35.1,32.0
25,1300.0,42.5,30.59
26,949.0,88.3,10.75
27,659.0,58.07,11.35
28,1005.35,101.55,9.9
29,629.0,54.8,11.48
30,415.5,42.0,9.89
31,1900.0,116.0,16.38
32,2900.0,132.0,21.97
33,850.0,95.95,8.86
34,852.93,66.9,12.75
35,1700.0,90.0,18.89
36,997.5,105.0,9.5
37,1020.0,29.13,35.02
38,1335.71,113.1,11.81
39,1400.0,74.0,18.92
40,2175.0,119.85,18.15
41,437.18,53.26,8.21
42,1450.0,88.0,16.48
43,1600.0,105.0,15.24
44,1000.0,53.7,18.62
45,599.0,53.74,11.15
46,1535.0,87.81,17.48
47,723.94,56.25,12.87
48,558.11,23.86,23.39
49,900.0,62.0,14.52
50,649.0,22.35,29.04
51,670.0,54.6,12.27
52,734.75,59.35,12.38
53,790.65,29.87,26.47
54,700.0,41.0,17.07
55,598.0,46.02,12.99
56,1568.0,98.0,16.0
57,430.0,58.55,7.34
58,900.0,91.0,9.89
59,600.0,67.0,8.96
60,1150.0,115.0,10.0
61,1677.0,140.0,11.98
62,994.0,83.0,11.98
63,254.34,39.13,6.5
64,352.0,57.7,6.1
65,1400.0,72.55,19.3
66,1650.0,103.33,15.97
67,901.77,66.29,13.6
68,950.0,80.0,11.88
69,726.0,65.76,11.04
70,3475.0,178.4,19.48
71,1136.68,72.4,15.7
72,1460.98,74.5,19.61
73,1484.18,98.43,15.08
74,1412.95,97.445,14.5
75,712.68,59.39,12.0
76,799.0,73.26,10.91
77,1150.0,81.0,14.2
78,987.0,93.0,10.61
79,687.22,60.23,11.41
80,750.0,50.0,15.0
81,699.0,57.35,12.19
82,791.22,29.76,26.59
83,1875.0,117.23,15.99
84,1350.0,104.0,12.98
85,1125.0,83.37,13.49
86,707.0,74.38,9.51
87,1249.0,43.0,29.05
88,1249.0,31.97,39.07
89,1330.44,53.23,24.99
90,9500.0,400.0,23.75
91,1542.87,91.57,16.85
92,1484.98,86.79,17.11
93,532.17,89.44,5.95
94,1567.43,129.54,12.1
95,644.1,64.41,10.0
96,499.0,37.1,13.45
97,550.0,20.5,26.83
98,2275.0,182.0,12.5
99,606.0,62.38,9.71
100,912.49,54.9,16.62
101,874.46,76.0,11.51
102,690.91,48.0,14.39
103,218.41,36.29,6.02
104,2815.0,102.36,27.5
105,2440.0,130.0,18.77
106,520.0,58.0,8.97
107,2305.02,171.76,13.42
108,540.0,20.5,26.34
109,1450.0,1.0,1450.0
110,1496.06,90.67,16.5
111,1190.0,85.27,13.96
112,449.0,33.54,13.39
113,1559.01,102.23,15.25
114,1654.15,95.23,17.37
115,1480.0,102.56,14.43
116,5700.0,186.0,30.65
117,1199.0,93.93,12.76
118,848.34,60.38,14.05
119,955.0,56.0,17.05
120,1646.09,94.17,17.48
121,578.16,72.27,8.0
122,1719.32,99.44,17.29
123,1158.95,89.15,13.0
124,1550.0,77.79,19.93
125,1196.62,157.45,7.6
126,2146.38,122.65,17.5
127,1149.0,31.9,36.02
128,719.0,73.97,9.72
129,800.0,75.0,10.67
130,1553.89,88.0,17.66
131,1460.0,64.86,22.51
132,1907.17,98.67,19.33
133,1250.0,78.0,16.03
134,1270.0,79.2,16.04
135,1419.0,129.0,11.0
136,1210.0,115.39,10.49
137,259.94,30.59,8.5
138,1650.0,126.7,13.02
139,1941.94,122.83,15.81
140,903.0,64.5,14.0
141,1270.0,43.71,29.06
142,1663.47,98.43,16.9
143,1584.0,91.84,17.25
144,950.0,47.63,19.95
145,640.0,54.12,11.83
146,746.1,49.74,15.0
147,3265.42,143.54,22.75
148,1800.0,96.6,18.63
149,1901.5,86.42,22.0
150,1590.0,86.55,18.37
151,1545.0,91.86,16.82
152,584.4,59.03,9.9
153,949.0,29.95,31.69
154,1019.16,85.0,11.99
155,990.0,90.0,11.0
156,1840.0,108.0,17.04
157,268.0,15.0,17.87
158,902.48,66.85,13.5
159,649.0,70.68,9.18
160,790.97,68.78,11.5
161,1285.0,171.06,7.51
162,936.99,74.07,12.65
163,1295.53,69.1,18.75
164,1471.63,96.5,15.25
165,650.0,49.0,13.27
166,1450.0,131.0,11.07
167,2759.0,141.32,19.52
168,473.24,60.75,7.79
169,1207.0,46.5,25.96
170,460.0,68.54,6.71
171,856.06,26.79,31.95
172,699.0,36.0,19.42
173,491.88,68.88,7.14
174,1992.0,60.0,33.2
175,1150.0,50.0,23.0
176,761.25,101.5,7.5
177,2150.0,93.2,23.07
178,1950.0,104.0,18.75
179,876.79,73.31,11.96
180,638.55,58.05,11.0
181,1289.0,101.0,12.76
182,1800.0,82.5,21.82
183,549.0,41.42,13.25
184,965.0,60.98,15.82
185,613.41,53.34,11.5
186,781.5,71.04,11.0
187,1450.44,85.12,17.04
188,1190.95,94.52,12.6
189,1072.53,63.09,17.0
190,888.0,78.95,11.25
191,885.0,59.0,15.0
192,600.0,67.88,8.84
193,1050.0,65.0,16.15
194,1809.22,95.98,18.85
195,2053.5,136.9,15.0
196,1185.0,86.0,13.78
197,477.33,64.33,7.42
198,3800.0,158.0,24.05
199,449.0,35.69,12.58
200,1020.0,42.29,24.12
201,1487.5,87.5,17.0
202,320.0,43.68,7.33
203,780.0,39.0,20.0
204,1344.87,99.62,13.5
205,770.0,94.21,8.17
206,850.0,95.1,8.94
207,2600.0,130.0,20.0
208,819.0,86.03,9.52
209,1380.0,110.72,12.46
210,1598.67,103.14,15.5
211,1295.0,122.67,10.56
212,897.0,44.87,19.99
213,1261.5,63.17,19.97
214,472.83,62.96,7.51
215,1310.0,43.1,30.39
216,799.0,71.41,11.19
217,538.0,19.34,27.82
218,1571.4,87.3,18.0
219,1218.92,90.29,13.5
220,1190.0,88.61,13.43
221,739.0,78.24,9.45
222,1405.0,79.33,17.71
223,4200.0,163.0,25.77
224,288.8,44.43,6.5
225,1400.0,86.0,16.28
226,1000.0,74.95,13.34
227,844.25,91.0,9.28
228,3111.0,160.0,19.44
