0
"1.435,07 ; 78.85"
"532,17 ; 89.44"
1.477 ; 118.17
656 ; 52.5
535 ; 53.0
"504,10 ; 50.46"
1.350 ; 104.0
773 ; 70.0
"687,22 ; 60.23"
1.800 ; 96.6
"1.085,04 ; 60.28"
1.310 ; 43.1
1.866 ; 93.2
"735,84 ; 53.0"
"690,91 ; 48.0"
1.114 ; 85.22
"383,04 ; 47.88"
"491,88 ; 68.88"
1.100 ; 93.61
"254,34 ; 39.13"
"420,40 ; 42.4"
"218,41 ; 36.29"
"433,62 ; 60.72"
"1.132,34 ; 62.0"
"530,21 ; 68.08"
"1.435,07 ; 78.85"
"532,17 ; 89.44"
1.477 ; 118.17
656 ; 52.5
535 ; 53.0
"504,10 ; 50.46"
1.350 ; 104.0
773 ; 70.0
"687,22 ; 60.23"
1.800 ; 96.6
"1.085,04 ; 60.28"
1.310 ; 43.1
1.866 ; 93.2
"735,84 ; 53.0"
"690,91 ; 48.0"
1.114 ; 85.22
"383,04 ; 47.88"
"491,88 ; 68.88"
1.100 ; 93.61
"254,34 ; 39.13"
"420,40 ; 42.4"
"218,41 ; 36.29"
"433,62 ; 60.72"
"1.132,34 ; 62.0"
"530,21 ; 68.08"
"1.435,07 ; 78.85"
"532,17 ; 89.44"
1.477 ; 118.17
656 ; 52.5
535 ; 53.0
"504,10 ; 50.46"
1.350 ; 104.0
773 ; 70.0
"687,22 ; 60.23"
1.800 ; 96.6
"1.085,04 ; 60.28"
1.310 ; 43.1
1.866 ; 93.2
"735,84 ; 53.0"
"690,91 ; 48.0"
1.114 ; 85.22
"383,04 ; 47.88"
"491,88 ; 68.88"
1.100 ; 93.61
"254,34 ; 39.13"
"420,40 ; 42.4"
"218,41 ; 36.29"
"433,62 ; 60.72"
"1.132,34 ; 62.0"
"530,21 ; 68.08"
"1.435,07 ; 78.85"
"532,17 ; 89.44"
1.477 ; 118.17
656 ; 52.5
535 ; 53.0
"504,10 ; 50.46"
1.350 ; 104.0
773 ; 70.0
"687,22 ; 60.23"
1.800 ; 96.6
"1.085,04 ; 60.28"
1.310 ; 43.1
1.866 ; 93.2
"735,84 ; 53.0"
"690,91 ; 48.0"
1.114 ; 85.22
"383,04 ; 47.88"
"491,88 ; 68.88"
1.100 ; 93.61
"254,34 ; 39.13"
"420,40 ; 42.4"
"218,41 ; 36.29"
"433,62 ; 60.72"
"1.132,34 ; 62.0"
"530,21 ; 68.08"
"1.435,07 ; 78.85"
"532,17 ; 89.44"
1.477 ; 118.17
656 ; 52.5
535 ; 53.0
"504,10 ; 50.46"
1.350 ; 104.0
773 ; 70.0
"687,22 ; 60.23"
1.800 ; 96.6
"1.085,04 ; 60.28"
1.310 ; 43.1
1.866 ; 93.2
"735,84 ; 53.0"
"690,91 ; 48.0"
1.114 ; 85.22
"383,04 ; 47.88"
"491,88 ; 68.88"
1.100 ; 93.61
"254,34 ; 39.13"
"420,40 ; 42.4"
"218,41 ; 36.29"
"433,62 ; 60.72"
"1.132,34 ; 62.0"
"530,21 ; 68.08"
"1.435,07 ; 78.85"
"532,17 ; 89.44"
1.477 ; 118.17
