0
470 ; 56.85
720 ; 95.13
1.870 ; 75.0
"1.699,28 ; 108.58"
879 ; 64.0
"1.119,04 ; 69.94"
656 ; 52.5
"3.216,57 ; 185.5"
"401,58 ; 57.62"
1.875 ; 126.78
"1.091,70 ; 96.1"
1.100 ; 53.0
1.890 ; 147.36
"498,50 ; 33.21"
"3.181,10 ; 212.1"
735 ; 59.37
"2.141,64 ; 134.02"
1.353 ; 123.0
"1.157,90 ; 99.2"
2.485 ; 99.39
"420,40 ; 42.4"
699 ; 70.28
"2.864,67 ; 144.17"
"659,60 ; 65.96"
"1.123,20 ; 35.1"
1.300 ; 42.5
949 ; 88.3
659 ; 58.07
"1.005,35 ; 101.55"
629 ; 54.8
"415,50 ; 42.0"
1.900 ; 116.0
2.900 ; 132.0
850 ; 95.95
"852,93 ; 66.9"
1.700 ; 90.0
"997,50 ; 105.0"
1.020 ; 29.13
"1.335,71 ; 113.1"
1.400 ; 74.0
2.175 ; 119.85
"437,18 ; 53.26"
1.450 ; 88.0
1.600 ; 105.0
1.000 ; 53.7
599 ; 53.74
1.535 ; 87.81
"723,94 ; 56.25"
"558,11 ; 23.86"
900 ; 62.0
649 ; 22.35
670 ; 54.6
"734,75 ; 59.35"
"790,65 ; 29.87"
700 ; 41.0
598 ; 46.02
1.568 ; 98.0
430 ; 58.55
900 ; 91.0
600 ; 67.0
1.150 ; 115.0
1.677 ; 140.0
994 ; 83.0
"254,34 ; 39.13"
352 ; 57.7
1.400 ; 72.55
1.650 ; 103.33
"901,77 ; 66.29"
950 ; 80.0
726 ; 65.76
3.475 ; 178.4
"1.136,68 ; 72.4"
"1.460,98 ; 74.5"
"1.484,18 ; 98.43"
"1.412,95 ; 97.445"
"712,68 ; 59.39"
799 ; 73.26
1.150 ; 81.0
987 ; 93.0
"687,22 ; 60.23"
750 ; 50.0
699 ; 57.35
"791,22 ; 29.76"
1.875 ; 117.23
1.350 ; 104.0
1.125 ; 83.37
707 ; 74.38
1.249 ; 43.0
1.249 ; 31.97
"1.330,44 ; 53.23"
9.500 ; 400.0
"1.542,87 ; 91.57"
"1.484,98 ; 86.79"
"532,17 ; 89.44"
"1.567,43 ; 129.54"
"644,10 ; 64.41"
499 ; 37.1
550 ; 20.5
2.275 ; 182.0
606 ; 62.38
"912,49 ; 54.9"
"874,46 ; 76.0"
"690,91 ; 48.0"
"218,41 ; 36.29"
2.815 ; 102.36
2.440 ; 130.0
520 ; 58.0
"2.305,02 ; 171.76"
540 ; 20.5
1.450 ; 1.
"1.496,06 ; 90.67"
1.190 ; 85.27
449 ; 33.54
"1.559,01 ; 102.23"
"1.654,15 ; 95.23"
1.480 ; 102.56
5.700 ; 186.0
1.199 ; 93.93
"848,34 ; 60.38"
955 ; 56.0
"1.646,09 ; 94.17"
"578,16 ; 72.27"
"1.719,32 ; 99.44"
"1.158,95 ; 89.15"
1.550 ; 77.79
"1.196,62 ; 157.45"
"2.146,38 ; 122.65"
1.149 ; 31.9
719 ; 73.97
800 ; 75.0
"1.553,89 ; 88.0"
1.460 ; 64.86
"1.907,17 ; 98.67"
1.250 ; 78.0
1.270 ; 79.2
1.419 ; 129.0
1.210 ; 115.39
"259,94 ; 30.59"
1.650 ; 126.7
"1.941,94 ; 122.83"
903 ; 64.5
1.270 ; 43.71
"1.663,47 ; 98.43"
1.584 ; 91.84
950 ; 47.63
640 ; 54.12
"746,10 ; 49.74"
"3.265,42 ; 143.54"
1.800 ; 96.6
"1.901,50 ; 86.42"
1.590 ; 86.55
1.545 ; 91.86
"584,40 ; 59.03"
949 ; 29.95
"1.019,16 ; 85.0"
990 ; 90.0
1.840 ; 108.0
268 ; 15.0
"902,48 ; 66.85"
649 ; 70.68
"790,97 ; 68.78"
1.285 ; 171.06
"936,99 ; 74.07"
"1.295,53 ; 69.1"
"1.471,63 ; 96.5"
650 ; 49.0
1.450 ; 131.0
2.759 ; 141.32
"473,24 ; 60.75"
1.207 ; 46.5
460 ; 68.54
"856,06 ; 26.79"
699 ; 36.0
"491,88 ; 68.88"
1.992 ; 60.0
1.150 ; 50.0
"761,25 ; 101.5"
2.150 ; 93.2
1.950 ; 104.0
"876,79 ; 73.31"
"638,55 ; 58.05"
1.289 ; 101.0
1.800 ; 82.5
549 ; 41.42
965 ; 60.98
"613,41 ; 53.34"
"781,50 ; 71.04"
"1.450,44 ; 85.12"
"1.190,95 ; 94.52"
"1.072,53 ; 63.09"
888 ; 78.95
885 ; 59.0
600 ; 67.88
1.050 ; 65.0
"1.809,22 ; 95.98"
"2.053,50 ; 136.9"
1.185 ; 86.0
"477,33 ; 64.33"
3.800 ; 158.0
449 ; 35.69
1.020 ; 42.29
"1.487,50 ; 87.5"
320 ; 43.68
780 ; 39.0
"1.344,87 ; 99.62"
770 ; 94.21
850 ; 95.1
2.600 ; 130.0
819 ; 86.03
1.380 ; 110.72
"1.598,67 ; 103.14"
1.295 ; 122.67
897 ; 44.87
"1.261,50 ; 63.17"
"472,83 ; 62.96"
1.310 ; 43.1
799 ; 71.41
538 ; 19.34
"1.571,40 ; 87.3"
"1.218,92 ; 90.29"
1.190 ; 88.61
739 ; 78.24
1.405 ; 79.33
4.200 ; 163.0
"288,80 ; 44.43"
1.400 ; 86.0
1.000 ; 74.95
"844,25 ; 91.0"
3.111 ; 160.0
420 ; 19.0
1.625 ; 82.83
"515,77 ; 70.75"
459 ; 35.69
"840,15 ; 59.27"
5.100 ; 123.0
1.299 ; 55.0
1.520 ; 81.37
980 ; 69.08
"1.314,12 ; 80.0"
1.195 ; 99.63
630 ; 63.0
1.050 ; 43.55
"970,68 ; 54.07"
1.600 ; 94.0
4.732 ; 182.0
1.249 ; 31.07
"792,99 ; 29.4"
370 ; 60.15
"442,33 ; 69.19"
"1.330,85 ; 73.94"
"1.942,50 ; 129.5"
"1.067,89 ; 102.88"
"364,76 ; 51.96"
"631,80 ; 36.12"
1.525 ; 82.27
"1.699,30 ; 108.86"
1.181 ; 63.53
579 ; 53.98
"1.491,66 ; 82.87"
"294,20 ; 29.4"
800 ; 72.0
719 ; 74.34
"494,22 ; 65.17"
"281,50 ; 40.1"
1.200 ; 103.93
"1.018,50 ; 33.95"
1.200 ; 60.0
380 ; 40.0
935 ; 55.0
890 ; 51.0
979 ; 101.73
773 ; 70.0
769 ; 84.77
557 ; 55.7
2.299 ; 129.59
980 ; 90.7
1.148 ; 85.01
725 ; 58.0
"518,82 ; 22.9"
"1.486,52 ; 104.81"
"856,04 ; 26.79"
293 ; 43.7
500 ; 77.0
"979,53 ; 55.66"
1.249 ; 98.99
936 ; 80.0
950 ; 50.0
499 ; 37.21
1.450 ; 73.0
"630,23 ; 66.34"
1.200 ; 80.05
"375,38 ; 57.75"
810 ; 66.2
1.878 ; 197.59
1.020 ; 68.8
2.000 ; 92.0
"1.693,85 ; 98.04"
1.350 ; 92.0
1.200 ; 3016.0
"1.270,58 ; 74.74"
949 ; 90.12
2.145 ; 143.0
1.435 ; 77.07
2.100 ; 105.0
"1.869,90 ; 230.0"
475 ; 72.0
2.750 ; 110.0
"673,71 ; 63.2"
350 ; 43.28
"633,33 ; 68.1"
1.149 ; 63.0
"1.132,34 ; 62.0"
649 ; 69.7
1.100 ; 100.0
2.300 ; 145.0
1.545 ; 103.15
550 ; 67.81
"1.635,26 ; 148.66"
"673,92 ; 74.88"
440 ; 61.2
449 ; 37.31
600 ; 45.5
2.500 ; 134.0
"1.117,50 ; 37.25"
1.300 ; 96.33
2.250 ; 127.0
"839,29 ; 80.71"
1.478 ; 77.79
2.448 ; 150.0
"1.069,81 ; 110.57"
4.360 ; 171.8
"2.019,68 ; 115.41"
491 ; 51.72
"1.023,30 ; 60.55"
579 ; 43.0
1.475 ; 76.79
"958,03 ; 87.252"
370 ; 44.8
1.500 ; 77.93
360 ; 16.15
"2.287,80 ; 125.0"
"464,69 ; 24.25"
1.340 ; 67.0
968 ; 88.0
535 ; 53.0
894 ; 66.15
3.490 ; 190.0
1.299 ; 103.48
"945,84 ; 67.56"
2.349 ; 123.79
"1.015,13 ; 69.0"
799 ; 71.2
840 ; 71.98
699 ; 56.98
320 ; 78.88
"1.132,37 ; 66.61"
"1.577,76 ; 93.97"
460 ; 68.6
1.130 ; 82.27
"791,62 ; 29.68"
"1.693,63 ; 94.3"
1.249 ; 31.8
"1.551,16 ; 119.32"
2.175 ; 160.0
900 ; 50.35
1.700 ; 124.36
"1.675,17 ; 100.49"
"376,50 ; 20.5"
1.550 ; 68.5
944 ; 75.51
1.789 ; 176.98
"1.142,09 ; 95.02"
2.900 ; 152.0
"1.211,42 ; 71.26"
520 ; 65.03
"928,32 ; 71.63"
975 ; 75.0
750 ; 23.0
"350,11 ; 54.13"
1.324 ; 60.0
"584,95 ; 72.09"
"1.323,20 ; 66.16"
"2.004,13 ; 117.89"
571 ; 56.68
"1.378,72 ; 98.48"
1.490 ; 85.0
"1.623,05 ; 109.0"
"447,18 ; 57.7"
1.207 ; 46.75
1.280 ; 95.22
"1.044,05 ; 96.1"
969 ; 75.49
1.800 ; 92.0
"557,15 ; 55.0"
1.476 ; 123.0
1.110 ; 57.0
510 ; 68.63
"732,07 ; 77.88"
1.500 ; 70.0
1.150 ; 52.5
1.450 ; 98.0
"443,37 ; 65.38"
"1.336,82 ; 87.58"
"1.727,23 ; 105.36"
"438,60 ; 63.29"
845 ; 67.53
854 ; 72.33
"453,56 ; 38.05"
599 ; 45.73
1.081 ; 92.0
1.485 ; 89.69
650 ; 78.29
650 ; 65.0
"279,44 ; 34.93"
899 ; 91.11
599 ; 42.18
"364,88 ; 51.83"
1.550 ; 64.0
2.720 ; 68.0
"1.558,26 ; 115.91"
860 ; 55.79
669 ; 69.79
900 ; 84.0
595 ; 56.0
1.065 ; 65.36
1.050 ; 67.0
1.430 ; 76.27
779 ; 67.99
1.236 ; 85.0
3.500 ; 390.0
1.293 ; 58.77
"851,24 ; 27.75"
"3.058,60 ; 203.1"
1.149 ; 33.01
865 ; 72.35
"876,18 ; 83.82"
"244,04 ; 41.11"
"1.197,27 ; 67.6"
1.149 ; 32.17
"1.435,07 ; 78.85"
"1.027,15 ; 87.81"
424 ; 58.75
"1.188,49 ; 152.37"
"1.279,16 ; 113.1"
1.690 ; 71.0
675 ; 60.16
1.930 ; 93.2
"1.078,52 ; 58.62"
1.545 ; 82.94
1.199 ; 58.0
790 ; 30.0
950 ; 75.0
"655,20 ; 60.0"
1.595 ; 89.75
674 ; 56.0
859 ; 72.33
850 ; 45.0
700 ; 65.0
"472,58 ; 38.05"
1.615 ; 92.37
"1.203,31 ; 65.72"
"391,21 ; 53.59"
"1.733,59 ; 95.2"
499 ; 36.93
1.720 ; 89.0
1.290 ; 55.0
880 ; 80.0
870 ; 80.95
2.400 ; 107.0
"789,50 ; 76.06"
1.200 ; 107.45
"895,95 ; 59.73"
1.477 ; 118.17
"257,14 ; 34.2"
3.000 ; 150.0
1.200 ; 62.0
879 ; 72.35
799 ; 81.43
459 ; 39.48
"699,24 ; 76.17"
539 ; 42.0
"647,73 ; 47.98"
560 ; 68.12
1.520 ; 80.0
598 ; 42.69
240 ; 34.42
1.093 ; 119.88
"1.271,25 ; 84.75"
1.595 ; 89.0
2.330 ; 116.42
"1.085,04 ; 60.28"
550 ; 47.0
"1.281,55 ; 90.0"
"2.504,74 ; 173.94"
390 ; 58.0
1.100 ; 63.0
949 ; 89.74
3.850 ; 209.0
660 ; 80.07
862 ; 72.33
"1.246,28 ; 95.03"
"1.840,57 ; 119.44"
1.650 ; 77.0
1.399 ; 115.02
1.400 ; 82.0
"1.094,80 ; 64.4"
420 ; 57.42
"1.699,37 ; 95.47"
1.698 ; 150.0
969 ; 88.55
1.670 ; 123.86
"982,22 ; 85.54"
1.660 ; 84.0
729 ; 70.74
622 ; 26.0
1.756 ; 99.83
640 ; 90.8
1.355 ; 70.64
"1.121,58 ; 83.08"
441 ; 62.88
"278,12 ; 27.0"
1.360 ; 64.81
"562,05 ; 37.47"
"1.571,81 ; 96.43"
1.980 ; 110.0
819 ; 67.99
570 ; 63.75
2.920 ; 132.0
680 ; 61.96
1.160 ; 45.0
689 ; 54.44
819 ; 81.3
"505,63 ; 69.36"
949 ; 88.55
900 ; 48.0
700 ; 40.0
"2.104,17 ; 217.0"
940 ; 67.66
2.990 ; 130.0
790 ; 88.0
1.738 ; 89.86
1.149 ; 32.94
"915,19 ; 80.99"
"540,13 ; 24.95"
1.490 ; 77.0
"1.636,73 ; 95.08"
"924,03 ; 71.63"
740 ; 28.0
"1.843,16 ; 83.78"
450 ; 62.0
987 ; 94.0
2.197 ; 121.0
1.384 ; 80.0
"589,71 ; 71.48"
629 ; 54.5
2.300 ; 111.4
"1.872,60 ; 124.84"
"1.014,80 ; 76.81"
729 ; 28.9
"1.580,67 ; 146.63"
"1.556,88 ; 98.04"
1.342 ; 92.5
2.190 ; 112.27
610 ; 67.78
"599,16 ; 54.15"
"698,29 ; 56.45"
1.210 ; 82.0
"1.659,67 ; 96.83"
"1.085,04 ; 86.5"
1.100 ; 46.0
1.999 ; 135.0
250 ; 37.0
"5.309,75 ; 212.39"
799 ; 76.42
"1.410,72 ; 90.24"
3.500 ; 143.22
"291,21 ; 44.05"
999 ; 80.59
"910,92 ; 79.21"
"735,84 ; 53.0"
1.749 ; 120.0
390 ; 54.74
2.000 ; 91.0
"882,35 ; 121.0"
3.264 ; 167.36
769 ; 70.68
3.915 ; 3.
2.491 ; 99.65
"1.211,08 ; 93.16"
3.262 ; 195.0
"1.254,32 ; 74.25"
280 ; 33.99
"830,50 ; 75.5"
5.000 ; 200.0
900 ; 81.11
1.544 ; 72.64
777 ; 105.0
1.424 ; 89.0
460 ; 67.53
890 ; 30.0
"1.178,85 ; 40.65"
960 ; 60.0
"586,50 ; 69.0"
"859,92 ; 48.31"
2.950 ; 164.0
800 ; 29.0
"1.393,77 ; 87.11"
1.049 ; 96.44
"904,88 ; 73.33"
1.200 ; 120.0
"1.455,46 ; 84.62"
"778,50 ; 25.95"
"557,63 ; 23.75"
"786,07 ; 30.79"
879 ; 77.09
739 ; 52.62
1.100 ; 93.61
1.250 ; 52.08
1.653 ; 87.0
1.360 ; 66.69
"1.750,48 ; 100.66"
"1.648,58 ; 72.47"
1.040 ; 65.48
820 ; 23.0
"1.999,23 ; 101.69"
"3.121,89 ; 143.54"
"1.139,04 ; 81.36"
"726,51 ; 56.45"
1.155 ; 101.5
"500,92 ; 74.36"
897 ; 66.35
2.374 ; 172.0
"1.951,08 ; 111.49"
422 ; 76.3
1.825 ; 126.82
1.249 ; 33.21
"998,16 ; 83.18"
1.250 ; 56.61
"4.416,40 ; 110.41"
"1.648,43 ; 95.34"
1.165 ; 65.6
700 ; 53.23
1.000 ; 100.0
999 ; 90.94
1.899 ; 130.78
"1.692,92 ; 98.77"
1.114 ; 85.22
"904,50 ; 67.0"
"5.540,64 ; 131.92"
"1.739,09 ; 96.67"
"1.048,53 ; 96.55"
"1.998,98 ; 121.15"
"764,64 ; 53.0"
"1.110,10 ; 65.3"
799 ; 82.15
899 ; 76.15
"1.073,77 ; 85.69"
1.149 ; 93.48
"1.637,91 ; 98.02"
1.250 ; 61.0
599 ; 65.31
"739,44 ; 72.0"
2.495 ; 166.34
795 ; 30.0
1.350 ; 110.73
585 ; 65.0
1.534 ; 77.66
670 ; 30.0
690 ; 41.0
910 ; 68.33
1.227 ; 62.77
3.199 ; 156.1
650 ; 40.0
265 ; 11.0
"700,76 ; 56.65"
480 ; 23.5
"703,23 ; 56.85"
"888,44 ; 63.46"
"695,81 ; 56.25"
"1.394,10 ; 92.94"
699 ; 49.0
"1.481,77 ; 106.22"
310 ; 44.0
1.790 ; 113.0
530 ; 57.71
500 ; 24.95
1.115 ; 104.01
350 ; 29.19
"934,50 ; 89.0"
2.730 ; 120.06
440 ; 72.81
850 ; 35.0
749 ; 74.15
1.440 ; 47.0
454 ; 66.32
"946,12 ; 67.58"
1.200 ; 99.29
1.850 ; 107.0
"761,46 ; 74.0"
"254,19 ; 36.27"
510 ; 68.12
"789,02 ; 73.87"
1.178 ; 68.71
815 ; 84.0
400 ; 45.0
"852,23 ; 27.55"
1.420 ; 84.4
1.120 ; 56.0
"1.169,14 ; 82.045"
"2.635,54 ; 241.0"
"315,30 ; 49.98"
3.500 ; 158.0
1.059 ; 81.5
407 ; 57.0
464 ; 58.0
1.425 ; 80.72
1.850 ; 91.0
"1.944,38 ; 127.5"
"489,42 ; 58.51"
"366,50 ; 20.5"
1.440 ; 104.52
750 ; 88.63
680 ; 37.11
330 ; 30.0
1.170 ; 88.61
"757,32 ; 81.58"
2.720 ; 136.15
470 ; 81.0
750 ; 1376.0
1.300 ; 70.0
1.584 ; 126.7
"784,10 ; 62.23"
1.000 ; 83.7
"1.183,54 ; 69.62"
4.360 ; 172.0
530 ; 20.5
"433,62 ; 60.72"
1.995 ; 99.78
"852,77 ; 27.45"
1.443 ; 84.78
1.199 ; 90.66
940 ; 42.29
594 ; 66.0
5.981 ; 225.0
2.800 ; 174.93
"1.126,14 ; 98.0"
"901,51 ; 53.03"
