base_rent,qm,plz,rent_per_qm,data_set
1293.00,58.77,10785,22.00,immonet
876.18,83.82,15711,10.45,immonet
1500.00,72.00,10435,20.83,immonet
1135.00,98.60,14542,11.51,immonet
1200.00,80.05,12203,14.99,immonet
750.00,50.00,14476,15.00,immonet
1020.00,42.29,10249,24.12,immonet
3850.00,209.00,10117,18.42,immonet
640.00,90.80,14641,7.05,immonet
746.10,49.74,10243,15.00,immonet
1520.00,81.37,10249,18.68,immonet
1951.08,111.49,10557,17.50,immonet
1821.33,103.79,10787,17.55,immonet
1384.80,92.32,13127,15.00,immonet
1342.00,92.50,12527,14.51,immonet
928.32,71.63,15745,12.96,immonet
750.00,88.63,16321,8.46,immonet
850.00,35.00,10557,24.29,immonet
1132.37,66.61,14467,17.00,immonet
994.56,96.00,14641,10.36,immonet
1420.00,84.40,14199,16.82,immonet
1582.09,102.46,10247,15.44,immonet
1137.00,84.21,14542,13.50,immonet
1999.00,135.00,10317,14.81,immonet
449.00,34.38,12627,13.06,immonet
1677.00,140.00,14979,11.98,immonet
1049.00,92.00,15749,11.40,immonet
1289.47,100.53,15711,12.83,immonet
799.00,76.42,13125,10.46,immonet
852.93,66.90,12527,12.75,immonet
1384.00,80.00,10829,17.30,immonet
1393.77,87.11,10829,16.00,immonet
1654.15,95.23,10557,17.37,immonet
1200.00,54.80,10715,21.90,immonet
4400.00,246.00,10435,17.89,immonet
1571.81,96.43,10829,16.30,immonet
644.10,64.41,13437,10.00,immonet
1756.00,99.83,10557,17.59,immonet
1074.55,113.11,14480,9.50,immonet
836.83,90.96,14480,9.20,immonet
854.00,72.33,12529,11.81,immonet
1900.00,104.05,10557,18.26,immonet
559.00,17.00,12205,32.88,immonet
350.00,29.19,13353,11.99,immonet
2873.56,165.00,10439,17.42,immonet
1115.00,104.01,16515,10.72,immonet
2500.00,134.00,10969,18.66,immonet
557.63,23.75,10829,23.48,immonet
550.00,58.34,16761,9.43,immonet
761.25,101.50,16359,7.50,immonet
2175.00,160.00,14532,13.59,immonet
630.00,32.00,14169,19.69,immonet
2900.00,132.00,10557,21.97,immonet
579.00,43.11,13125,13.43,immonet
726.51,56.45,14641,12.87,immonet
849.17,77.55,14641,10.95,immonet
673.92,74.88,14055,9.00,immonet
669.00,69.79,12627,9.59,immonet
420.00,42.50,15834,9.88,immonet
856.06,26.79,10557,31.95,immonet
519.00,74.70,16356,6.95,immonet
1203.31,65.72,10115,18.31,immonet
437.18,53.26,13409,8.21,immonet
764.64,53.00,10315,14.43,immonet
1295.53,69.10,10179,18.75,immonet
1060.00,105.52,13353,10.05,immonet
998.03,61.18,13409,16.31,immonet
2374.00,172.00,14050,13.80,immonet
699.00,57.35,10315,12.19,immonet
3490.00,190.00,14057,18.37,immonet
1478.00,77.79,10557,19.00,immonet
890.00,51.00,13158,17.45,immonet
3500.00,158.00,10557,22.15,immonet
1233.40,66.40,10787,18.58,immonet
630.00,63.00,14513,10.00,immonet
320.00,78.88,14947,4.06,immonet
673.71,63.20,13156,10.66,immonet
879.00,64.00,12103,13.73,immonet
457.94,38.45,14641,11.91,immonet
958.03,87.25,14669,10.98,immonet
999.00,90.94,12529,10.99,immonet
360.00,42.00,14612,8.57,immonet
470.00,50.00,16341,9.40,immonet
1080.00,71.54,14548,15.10,immonet
749.00,62.02,13055,12.08,immonet
980.00,69.08,13158,14.19,immonet
449.00,37.31,12629,12.03,immonet
1299.00,55.00,13585,23.62,immonet
494.22,65.17,10783,7.58,immonet
630.23,66.34,12307,9.50,immonet
358.72,37.76,14776,9.50,immonet
1487.50,87.50,14467,17.00,immonet
2287.80,125.00,10707,18.30,immonet
1840.57,119.44,10557,15.41,immonet
1100.00,46.00,10243,23.91,immonet
799.00,71.41,10315,11.19,immonet
852.77,27.45,10557,31.07,immonet
1545.00,82.94,10249,18.63,immonet
819.00,67.99,12529,12.05,immonet
1350.00,104.00,14169,12.98,immonet
1050.00,76.27,10555,13.77,immonet
720.00,95.13,14822,7.57,immonet
1648.58,72.47,10179,22.75,immonet
1424.00,89.00,14195,16.00,immonet
936.99,74.07,15745,12.65,immonet
1130.00,82.27,14473,13.74,immonet
987.00,94.00,15344,10.50,immonet
859.92,48.31,10829,17.80,immonet
599.00,65.31,14641,9.17,immonet
4416.40,110.41,10115,40.00,immonet
449.00,35.69,12627,12.58,immonet
1336.82,87.58,10627,15.26,immonet
1040.00,65.48,14199,15.88,immonet
2750.00,110.00,10625,25.00,immonet
1500.00,85.00,10785,17.65,immonet
1100.00,100.00,16540,11.00,immonet
1280.00,106.00,16341,12.08,immonet
570.00,63.75,14776,8.94,immonet
1165.95,68.59,10179,17.00,immonet
1110.00,57.00,10555,19.47,immonet
1809.22,95.98,10557,18.85,immonet
912.49,54.90,13409,16.62,immonet
1869.90,230.00,12249,8.13,immonet
1335.71,113.10,14641,11.81,immonet
1430.00,76.27,10249,18.75,immonet
364.76,51.96,13509,7.02,immonet
1738.00,89.86,14059,19.34,immonet
935.00,55.00,14089,17.00,immonet
522.17,82.66,12355,6.32,immonet
