,zip_code,price_cold,area
0,10785,1293.0,58.77
1,15711,876.18,83.82
2,10435,1500.0,72.0
3,14542,1135.0,98.6
4,12203,1200.0,80.05
5,14476,750.0,50.0
6,10249,1020.0,42.29
7,10117,3850.0,209.0
8,14641,640.0,90.8
9,10243,746.1,49.74
10,10249,1520.0,81.37
11,10557,1951.08,111.49
12,10787,1821.33,103.79
14,13127,1384.8,92.32
15,12527,1342.0,92.5
16,15745,928.32,71.63
17,16321,750.0,88.63
18,10557,850.0,35.0
19,14467,1132.37,66.61
20,14641,994.56,96.0
22,14199,1420.0,84.4
23,10247,1582.09,102.46
24,14542,1137.0,84.21
25,10317,1999.0,135.0
26,12627,449.0,34.38
27,14979,1677.0,140.0
28,15749,1049.0,92.0
29,15711,1289.47,100.53
30,13125,799.0,76.42
31,12527,852.93,66.9
32,10829,1384.0,80.0
33,10829,1393.77,87.11
34,10557,1654.15,95.23
35,10715,1200.0,54.8
36,10435,4400.0,246.0
37,10829,1571.81,96.43
38,13437,644.1,64.41
39,10557,1756.0,99.83
40,14480,1074.55,113.11
41,14480,836.83,90.96
42,12529,854.0,72.33
43,10557,1900.0,104.05
44,12205,559.0,17.0
45,13353,350.0,29.19
46,10439,2873.56,165.0
47,16515,1115.0,104.01
48,10969,2500.0,134.0
49,10829,557.63,23.75
50,16761,550.0,58.34
51,16359,761.25,101.5
52,14532,2175.0,160.0
53,14169,630.0,32.0
54,10557,2900.0,132.0
55,13125,579.0,43.11
56,14641,726.51,56.45
57,14641,849.17,77.55
58,14055,673.92,74.88
59,12627,669.0,69.79
60,15834,420.0,42.5
61,10557,856.06,26.79
62,16356,519.0,74.7
63,10115,1203.31,65.72
64,13409,437.18,53.26
65,10315,764.64,53.0
66,10179,1295.53,69.1
67,13353,1060.0,105.52
68,13409,998.03,61.18
69,14050,2374.0,172.0
70,10315,699.0,57.35
71,14057,3490.0,190.0
72,10557,1478.0,77.79
73,13158,890.0,51.0
74,10557,3500.0,158.0
75,10787,1233.4,66.4
76,14513,630.0,63.0
77,14947,320.0,78.88
78,13156,673.71,63.2
79,12103,879.0,64.0
80,14641,457.94,38.45
81,14669,958.03,87.25200000000001
83,12529,999.0,90.94
84,14612,360.0,42.0
85,16341,470.0,50.0
86,14548,1080.0,71.54
87,13055,749.0,62.02
88,13158,980.0,69.08
89,12629,449.0,37.31
90,13585,1299.0,55.0
91,10783,494.22,65.17
92,12307,630.23,66.34
93,14776,358.72,37.76
94,14467,1487.5,87.5
95,10707,2287.8,125.0
96,10557,1840.57,119.44
97,10243,1100.0,46.0
98,10315,799.0,71.41
99,10557,852.77,27.45
100,10249,1545.0,82.94
101,12529,819.0,67.99
102,14169,1350.0,104.0
103,10555,1050.0,76.27
104,14822,720.0,95.13
105,10179,1648.58,72.47
106,14195,1424.0,89.0
108,15745,936.99,74.07
109,14473,1130.0,82.27
110,15344,987.0,94.0
111,10829,859.92,48.31
112,14641,599.0,65.31
113,10115,4416.4,110.41
114,12627,449.0,35.69
115,10627,1336.82,87.58
116,14199,1040.0,65.48
117,10625,2750.0,110.0
118,10785,1500.0,85.0
119,16540,1100.0,100.0
120,16341,1280.0,106.0
121,14776,570.0,63.75
123,10179,1165.95,68.59
124,10555,1110.0,57.0
125,10557,1809.22,95.98
126,13409,912.49,54.9
127,12249,1869.9,230.0
128,14641,1335.71,113.1
129,10249,1430.0,76.27
130,13509,364.76,51.96
131,14059,1738.0,89.86
132,14089,935.0,55.0
133,12355,522.17,82.66
135,15831,722.13,57.77
136,10557,2920.0,132.0
138,10557,1440.0,47.0
139,10249,1360.0,64.81
140,14467,1545.0,103.15
141,10557,791.62,29.68
142,13127,879.0,77.09
143,14624,1150.0,115.0
144,10711,1992.0,60.0
146,10557,790.0,30.0
