,description_short,adress,zip_code,price_cold,price_warm,rooms,area,yearbuild,url
0,"2-Zimmer-Apartment in attraktivem Neubauprojekt im Lützowviertel, am Puls der Zeit",10785 Berlin,10785,1293.0,1499.5,2.0,58.77,2019,https://www.immonet.de/angebot/40783366
1,"Lofts, gerade neu modernisiert und bezugsfrei, am Rande Berlins",15711 Königs Wusterhausen,15711,876.18,NaN,1.0,83.82,1996,https://www.immonet.de/angebot/41357831
2,Hübsche 3-Zi-Whg mit Balkon u EBK - Erstbezug nach Sanierung (green 44),10435 Berlin,10435,1500.0,1700.0,2.0,72.0,1918,https://www.immonet.de/angebot/41668426
3,Traumwohnung mit Blick auf den Yachthafen in Werder/Havel zu vermieten!,Zum Großen Zernsee 6f  14542 Werder,14542,1135.0,NaN,3.0,98.6,2013,https://www.immonet.de/angebot/41393149
4,Luxus Studio-Apartment,Unter den Eichen 101  12203 Berlin,12203,1200.0,1360.0,2.0,80.05,2018,https://www.immonet.de/angebot/41362590
5,Modernes Studio-Apartment für Geschäftsleute zwischen Potsdam und Berlin!,14476 Potsdam,14476,750.0,NaN,1.0,50.0,NA,https://www.immonet.de/angebot/39439584
6,Kompakt und eindrucksvoll! 2-Zimmerwohnung nahe Alexanderplatz für Singles oder Pärchen,Pauline-Staegemann-Str. 6  10249 Berlin,10249,1020.0,1170.0,2.0,42.29,2020,https://www.immonet.de/angebot/41330124
7,Exklusive Wohnung der Extraklasse am Gendarmenmarkt!,Markgrafenstraße 42  10117 Berlin,10117,3850.0,4475.0,4.0,209.0,2006,https://www.immonet.de/angebot/40364342
8,"3,5 Zimmer im 2OG",Theodor-Kerkow-Allee  14641 Nauen,14641,640.0,830.0,3.5,90.8,1996,https://www.immonet.de/angebot/41662554
9,Extravagantes 1-Zimmer Apartment !,Palisadenstraße 60  10243 Berlin,10243,746.1,895.32,1.0,49.74,NA,https://www.immonet.de/angebot/41391876
10,Erstklassige 3-Zimmerwohnung im Königstadt-Quartier!,Pauline-Staegemann-Str. 6  10249 Berlin,10249,1520.0,1790.0,3.0,81.37,2020,https://www.immonet.de/angebot/41599515
11,Penthouse-Traum mit großer Dachterrasse zum Erstbezug mit EBK!,Heidestraße 19  10557 Berlin,10557,1951.08,2285.55,3.0,111.49,2019,https://www.immonet.de/angebot/41477303
12,"Erstbezug! - Nur noch wenige Wohnungen im ""Lützow Carré"" verfügbar! - Einzigartige 3-Zimmer-Wohnung mit Blick auf den Landwehrkanal",Lützowufer 23  10787 Berlin,10787,1821.33,2184.59,3.0,103.79,2018,https://www.immonet.de/angebot/37558383
13,Das Simon Palais an der Museumsinsel - Stadtvilla am Ufer der Spree!,10117 Berlin,10117,NA,NaN,4.0,179.0,1911,https://www.immonet.de/angebot/34894140
14,Erstbezug - Dachgeschosswohnung in Französisch Buchholz,13127 Berlin,13127,1384.8,1654.12,3.0,92.32,2019,https://www.immonet.de/angebot/41667363
15,Penthouse zum leben und genießen,12527 Berlin,12527,1342.0,1666.5,3.0,92.5,2020,https://www.immonet.de/angebot/41384946
16,ruhige Erdgeschoss-WE mit 160 qm großem Garten,Neubauernstr. 2  15745 Wildau,15745,928.32,1157.4,2.0,71.63,2020,https://www.immonet.de/angebot/40380220
17,Nest im Grünen für junge Familie in Bernau + Stellplätze!,Pegasustraße  16321 Bernau,16321,750.0,960.0,3.0,88.63,1995,https://www.immonet.de/angebot/40726355
18,Erstbezug nach Neubau 1 Zimmer-Wohnung in Berlin Mitte (Europa-City) mit Balkon und  vollausgestatteter Einbauküche,10557 Berlin,10557,850.0,950.0,1.0,35.0,2020,https://www.immonet.de/angebot/41657667
19,Erstbezug nach umfangreicher Sanierung !,Gutenbergstraße 95  14467 Potsdam,14467,1132.37,1331.0,2.0,66.61,NA,https://www.immonet.de/angebot/40313331
20,Wohnglück - praktische 3-Zimmer-Wohnung,Ernst-Thälmann-Platz 12a  14641 Wustermark,14641,994.56,1223.56,3.0,96.0,2019,https://www.immonet.de/angebot/41558771
